ILI Tool,Adjstd Weld Number,Adjstd Approx Milepost,Adjstd Approx Map Station (ft),Odometer (ft),Odometer Distance to Start of Box (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance From Top of Pipe (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,188,,,8044.49,8044.47,3396,ML EXT Cluster BTW Marker Bands,D5.22,54.21,5.22,0.93,D1017.58,2861.18,1017.58,0.219,14,24,0.51,1.42,148,59.43,,2255,2244,2252,2238,3128,3109,35.0764170,-119.3866691,693.95,,8.625,X52,ERW,1363
MFL,188,,,8044.70,8044.69,3397,ML EXT Cluster BTW Marker Bands,D5.00,54.43,5.00,1.14,D1017.36,2861.40,1017.36,0.219,34,44,0.90,1.61,182,59.43,,2167,2124,2183,2144,3032,2977,35.0764170,-119.3866683,693.95,,8.625,X52,ERW,1363
MFL,188,,,8045.04,8045.02,3398,ML EXT BTW Marker Bands,D4.67,54.76,4.67,0.90,D1017.02,2861.74,1017.02,0.219,16,26,0.27,0.27,143,59.43,,2263,2259,2262,2257,3141,3135,35.0764170,-119.3866672,693.96,,8.625,X52,ERW,1363
MFL,188,,,8045.13,8045.10,3399,ML EXT Cluster BTW Marker Bands,D4.58,54.85,4.58,1.25,D1016.93,2861.83,1016.93,0.219,28,38,0.59,1.31,199,59.43,,2230,2211,2231,2209,3099,3068,35.0764169,-119.3866669,693.97,,8.625,X52,ERW,1363
MFL,188,,,8045.35,8045.33,3400,ML EXT Cluster BTW Marker Bands,D4.36,55.07,4.36,0.85,D1016.71,2862.05,1016.71,0.219,14,24,1.45,0.68,135,59.43,,2198,2139,2240,2218,3111,3080,35.0764169,-119.3866662,693.98,,8.625,X52,ERW,1363
MFL,188,,,8045.50,8045.49,3401,ML EXT BTW Marker Bands,D4.20,55.22,4.20,1.27,D1016.56,2862.20,1016.56,0.219,14,24,0.27,0.27,202,59.43,,2263,2260,2262,2258,3142,3136,35.0764169,-119.3866658,693.98,,8.625,X52,ERW,1363
MFL,188,,,8045.65,8045.56,3402,ML EXT Cluster BTW Marker Bands,D4.05,55.38,4.05,0.83,D1016.41,2862.35,1016.41,0.219,12,22,1.49,0.83,133,59.43,,2206,2148,2227,2190,3093,3041,35.0764169,-119.3866653,693.99,,8.625,X52,ERW,1363
MFL,188,,,8045.89,8045.83,3403,ML EXT Cluster BTW Marker Bands,D3.81,55.62,3.81,0.82,D1016.17,2862.59,1016.17,0.219,15,25,1.89,2.66,131,59.43,,2165,2086,2167,2077,3010,2885,35.0764169,-119.3866643,694.00,,8.625,X52,ERW,1363
MFL,188,,,8046.02,8046.00,3404,ML EXT Cluster BTW Marker Bands,D3.69,55.74,3.69,1.27,D1016.04,2862.72,1016.04,0.219,17,27,0.86,1.67,203,59.43,,2228,2199,2239,2215,3110,3076,35.0764169,-119.3866640,694.00,,8.625,X52,ERW,1363
MFL,188,,,8046.18,8046.15,3405,ML EXT Cluster BTW Marker Bands,D3.53,55.90,3.53,0.83,D1015.89,2862.87,1015.89,0.219,11,21,0.82,2.19,133,59.43,,2245,2221,2241,2211,3112,3071,35.0764169,-119.3866634,694.01,,8.625,X52,ERW,1363
MFL,188,,,8046.33,8046.32,3406,ML EXT Cluster BTW Marker Bands,D3.37,56.06,3.37,0.97,D1015.73,2863.03,1015.73,0.219,30,40,4.71,2.23,154,59.43,,1857,1702,2104,1992,2923,2767,35.0764169,-119.3866629,694.01,,8.625,X52,ERW,1363
MFL,188,,,8046.87,8046.84,3407,ML EXT BTW Marker Bands,D2.83,56.59,2.83,0.90,D1015.19,2863.57,1015.19,0.219,15,25,0.51,0.51,143,59.43,,2254,2242,2251,2237,3126,3107,35.0764168,-119.3866611,694.03,,8.625,X52,ERW,1363
MFL,188,,,8047.21,8047.19,3408,ML EXT BTW Marker Bands,D2.50,56.93,2.50,1.20,D1014.86,2863.90,1014.86,0.219,11,21,0.28,0.28,191,59.43,,2264,2261,2263,2260,3144,3138,35.0764168,-119.3866600,694.04,,8.625,X52,ERW,1363
MFL,188,,,8047.37,8047.36,3409,ML EXT BTW Marker Bands,D2.33,57.10,2.33,1.18,D1014.69,2864.07,1014.69,0.219,17,27,0.27,0.27,188,59.43,,2262,2259,2261,2257,3141,3134,35.0764168,-119.3866594,694.05,,8.625,X52,ERW,1363
MFL,188,,,8047.57,8047.47,3410,ML EXT Cluster BTW Marker Bands,D2.14,57.29,2.14,1.20,D1014.50,2864.26,1014.50,0.219,12,22,2.48,1.04,191,59.43,,2163,2066,2210,2154,3069,2992,35.0764168,-119.3866588,694.06,,8.625,X52,ERW,1363
MFL,188,,,8047.91,8047.89,3411,ML EXT Cluster BTW Marker Bands,D1.80,57.63,1.80,1.17,D1014.16,2864.60,1014.16,0.219,11,21,0.31,1.18,186,59.43,,2263,2259,2262,2257,3142,3135,35.0764168,-119.3866577,694.07,,8.625,X52,ERW,1363
MFL,188,,,8049.56,,3412,Marker Band End,D0.14,59.28,0.14,,D1012.50,2866.26,1012.50,0.219,,,,,,59.43,,,,,,,,35.0764166,-119.3866522,694.13,,8.625,X52,ERW,1363
MFL,189,1.525,76+47,8049.70,,3413,Weld,U59.43,59.43,59.45,,D1012.36,2866.40,1012.36,0.219,,,,,,59.45,342,,,,,,,35.0764166,-119.3866517,694.13,,8.625,X52,ERW,1363
MFL,189,,,8052.01,8051.85,3414,ML EXT Cluster HAZ impact LS,U2.31,2.31,57.14,2.05,D1010.05,2868.71,1010.05,0.219,32,42,2.82,4.60,327,59.45,,1927,1796,2039,1931,2833,2682,35.0764165,-119.3866441,694.22,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,189,,,8052.22,8052.21,3415,ML EXT,U2.52,2.52,56.94,0.35,D1009.84,2868.92,1009.84,0.219,21,31,0.43,0.43,56,59.45,,2252,2243,2249,2237,3124,3107,35.0764165,-119.3866433,694.22,,8.625,X52,ERW,1363
MFL,189,,,8052.22,8052.18,3416,ML EXT Cluster HAZ impact LS,U2.52,2.52,56.94,1.98,D1009.84,2868.92,1009.84,0.219,29,39,0.83,1.79,315,59.45,,2197,2163,2193,2150,3046,2987,35.0764165,-119.3866433,694.22,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,189,,,8052.41,8052.35,3417,ML EXT Cluster HAZ impact LS,U2.71,2.71,56.75,1.95,D1009.65,2869.11,1009.65,0.219,29,39,3.81,2.43,311,59.45,,1906,1762,2076,1955,2884,2715,35.0764165,-119.3866427,694.23,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,189,,,8052.51,8052.50,3418,ML EXT Cluster,U2.81,2.81,56.64,0.45,D1009.55,2869.21,1009.55,0.219,11,21,0.28,0.28,71,59.45,,2264,2261,2263,2260,3144,3138,35.0764165,-119.3866424,694.23,,8.625,X52,ERW,1363
MFL,189,,,8052.70,8052.68,3419,ML EXT Cluster,U2.99,2.99,56.46,0.50,D1009.36,2869.39,1009.36,0.219,28,38,0.31,0.68,79,59.45,,2256,2250,2253,2245,3129,3118,35.0764164,-119.3866417,694.24,,8.625,X52,ERW,1363
MFL,189,,,8052.86,8052.84,3420,ML EXT,U3.15,3.15,56.30,0.56,D1009.20,2869.56,1009.20,0.219,21,31,0.31,0.31,90,59.45,,2259,2254,2257,2251,3135,3126,35.0764164,-119.3866412,694.25,,8.625,X52,ERW,1363
MFL,189,,,8052.94,8052.92,3421,ML EXT,U3.23,3.23,56.22,1.80,D1009.13,2869.63,1009.13,0.219,12,22,0.27,0.27,287,59.45,,2264,2261,2263,2259,3143,3138,35.0764164,-119.3866409,694.25,,8.625,X52,ERW,1363
MFL,189,,,8053.11,8053.07,3422,ML EXT Cluster,U3.41,3.41,56.05,0.65,D1008.95,2869.81,1008.95,0.219,31,41,1.45,2.67,103,59.45,,2093,2016,2182,2133,3031,2962,35.0764164,-119.3866403,694.26,,8.625,X52,ERW,1363
MFL,189,,,8053.17,8053.17,3423,ML EXT,U3.47,3.47,55.99,1.80,D1008.89,2869.87,1008.89,0.219,11,21,0.27,0.27,287,59.45,,2264,2261,2264,2260,3144,3138,35.0764164,-119.3866401,694.26,,8.625,X52,ERW,1363
MFL,189,,,8053.34,8053.31,3424,ML EXT HAZ impact LS,U3.64,3.64,55.82,1.86,D1008.72,2870.04,1008.72,0.219,13,23,0.47,0.47,296,59.45,,2257,2248,2255,2243,3132,3116,35.0764164,-119.3866395,694.27,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,189,,,8053.37,8053.36,3425,ML EXT,U3.67,3.67,55.78,0.82,D1008.69,2870.07,1008.69,0.219,11,21,0.28,0.28,131,59.45,,2264,2261,2263,2260,3144,3138,35.0764164,-119.3866395,694.27,,8.625,X52,ERW,1363
MFL,189,,,8053.75,8053.73,3426,ML EXT,U4.04,4.04,55.41,1.81,D1008.32,2870.44,1008.32,0.219,12,22,0.28,0.28,289,59.45,,2264,2261,2263,2259,3143,3138,35.0764164,-119.3866382,694.28,,8.625,X52,ERW,1363
MFL,189,,,8053.93,8053.91,3427,ML EXT Cluster,U4.23,4.23,55.23,0.74,D1008.13,2870.63,1008.13,0.219,15,25,0.63,1.21,118,59.45,,2247,2231,2250,2233,3125,3102,35.0764164,-119.3866376,694.29,,8.625,X52,ERW,1363
MFL,189,,,8054.66,8054.64,3428,ML EXT Cluster,U4.96,4.96,54.50,1.52,D1007.40,2871.36,1007.40,0.219,14,24,0.90,1.29,242,59.45,,2233,2203,2226,2189,3092,3040,35.0764163,-119.3866352,694.31,,8.625,X52,ERW,1363
MFL,189,,,8054.75,8054.74,3429,ML EXT,U5.05,5.05,54.41,1.21,D1007.31,2871.45,1007.31,0.219,10,20,0.28,0.28,193,59.45,,2264,2261,2264,2260,3144,3139,35.0764163,-119.3866349,694.32,,8.625,X52,ERW,1363
MFL,189,,,8054.95,8054.92,3430,ML EXT Cluster,U5.24,5.24,54.21,1.37,D1007.12,2871.64,1007.12,0.219,17,27,0.74,2.15,218,59.45,,2236,2214,2236,2211,3106,3070,35.0764163,-119.3866342,694.32,,8.625,X52,ERW,1363
MFL,189,,,8061.77,8061.75,3431,ML Int,U12.06,12.06,47.39,1.05,D1000.29,2878.47,1000.29,0.219,18,28,0.27,0.27,167,59.45,,2262,2258,2261,2256,3140,3134,35.0764158,-119.3866116,694.57,,8.625,X52,ERW,1363
MFL,189,,,8073.69,8073.67,3432,ML Int Cluster,U23.98,23.98,35.47,1.03,D988.37,2890.39,988.37,0.219,25,35,1.37,0.81,164,59.45,,2143,2078,2219,2189,3082,3040,35.0764151,-119.3865718,694.90,,8.625,X52,ERW,1363
MFL,189,,,8082.34,8082.32,3433,ML Int,D26.82,32.63,26.82,1.03,D979.73,2899.03,979.73,0.219,10,20,0.28,0.28,164,59.45,,2264,2261,2264,2260,3144,3139,35.0764145,-119.3865432,694.87,,8.625,X52,ERW,1363
MFL,189,,,8082.47,8082.46,3434,ML Int,D26.68,32.77,26.68,1.02,D979.59,2899.17,979.59,0.219,23,33,0.27,0.27,162,59.45,,2260,2256,2259,2253,3137,3130,35.0764145,-119.3865427,694.86,,8.625,X52,ERW,1363
MFL,190,1.535,77+01,8109.16,,3435,Weld,D53.67,59.45,53.67,,D952.90,2925.86,952.90,0.219,,,,,,53.67,5,,,,,,,35.0764129,-119.3864538,694.22,,8.625,X52,ERW,1363
MFL,190,,,8110.35,8110.33,3436,ML EXT HAZ impact LS,U1.20,1.20,52.47,0.24,D951.71,2927.05,951.71,0.219,11,21,0.47,0.47,38,53.67,,2259,2250,2257,2246,3135,3119,35.0764128,-119.3864498,694.22,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),8.625,X52,ERW,1363
MFL,190,,,8110.82,8110.81,3437,ML Int,U1.66,1.66,52.00,1.01,D951.24,2927.52,951.24,0.219,10,20,0.28,0.28,161,53.67,,2264,2261,2264,2260,3144,3139,35.0764128,-119.3864482,694.22,,8.625,X52,ERW,1363
MFL,190,,,8111.18,8111.15,3438,ML Int Cluster,U2.02,2.02,51.65,0.93,D950.88,2927.88,950.88,0.219,12,22,0.43,1.21,148,53.67,,2259,2252,2258,2249,3137,3124,35.0764128,-119.3864471,694.22,,8.625,X52,ERW,1363
MFL,190,,,8126.65,8126.64,3439,ML Int,U17.50,17.50,36.17,1.02,D935.41,2943.35,935.41,0.219,11,21,0.27,0.27,162,53.67,,2264,2261,2264,2260,3144,3138,35.0764118,-119.3863955,694.21,,8.625,X52,ERW,1363
MFL,190,,,8134.37,8134.35,3440,ML Int,U25.21,25.21,28.46,1.07,D927.70,2951.06,927.70,0.219,10,20,0.27,0.27,171,53.67,,2264,2261,2264,2260,3144,3139,35.0764113,-119.3863698,694.26,,8.625,X52,ERW,1363
MFL,190,,,8136.53,8136.51,3441,ML Int,D26.30,27.37,26.30,1.06,D925.53,2953.23,925.53,0.219,10,20,0.27,0.27,169,53.67,,2264,2261,2264,2260,3144,3139,35.0764112,-119.3863626,694.27,,8.625,X52,ERW,1363
MFL,190,,,8147.50,8147.49,3442,ML Int,D15.32,38.35,15.32,1.00,D914.56,2964.20,914.56,0.219,11,21,0.27,0.27,160,53.67,,2264,2261,2264,2260,3144,3138,35.0764105,-119.3863263,694.27,,8.625,X52,ERW,1363
MFL,190,,,8148.88,8148.86,3443,ML Int,D13.94,39.72,13.94,1.03,D913.18,2965.58,913.18,0.219,12,22,0.28,0.28,165,53.67,,2264,2261,2263,2259,3143,3138,35.0764104,-119.3863218,694.26,,8.625,X52,ERW,1363
MFL,190,,,8150.23,8150.21,3444,ML Int,D12.59,41.07,12.59,1.00,D911.83,2966.93,911.83,0.219,10,20,0.27,0.27,160,53.67,,2264,2261,2264,2260,3144,3139,35.0764103,-119.3863172,694.25,,8.625,X52,ERW,1363
MFL,191,1.546,77+58,8162.82,,3445,Weld,U53.67,53.67,57.39,,D899.24,2979.52,899.24,0.219,,,,,,57.39,322,,,,,,,35.0764095,-119.3862750,694.17,,8.625,X52,ERW,1363
MFL,191,,,8169.01,8169.00,3446,ML Int,U6.19,6.19,51.20,1.05,D893.05,2985.71,893.05,0.219,11,21,0.27,0.27,168,57.39,,2264,2261,2264,2260,3144,3138,35.0764091,-119.3862543,694.06,,8.625,X52,ERW,1363
MFL,191,,,8174.95,8174.94,3447,ML Int,U12.13,12.13,45.26,1.07,D887.11,2991.65,887.11,0.219,10,20,0.28,0.28,170,57.39,,2264,2261,2264,2260,3144,3139,35.0764087,-119.3862345,693.96,,8.625,X52,ERW,1363
MFL,191,,,8175.83,8175.81,3448,ML Int,U13.01,13.01,44.38,1.04,D886.23,2992.53,886.23,0.219,12,22,0.27,0.27,166,57.39,,2264,2261,2263,2259,3143,3138,35.0764087,-119.3862316,693.94,,8.625,X52,ERW,1363
MFL,191,,,8180.75,8180.74,3449,ML Int Cluster,U17.93,17.93,39.46,1.01,D881.31,2997.45,881.31,0.219,15,25,0.71,1.35,161,57.39,,2243,2223,2249,2232,3124,3100,35.0764084,-119.3862152,693.86,,8.625,X52,ERW,1363
MFL,191,,,8183.18,8183.16,3450,ML Int,U20.35,20.35,37.03,1.04,D878.89,2999.87,878.89,0.219,11,21,0.28,0.28,166,57.39,,2264,2261,2263,2260,3144,3138,35.0764082,-119.3862071,693.82,,8.625,X52,ERW,1363
MFL,191,,,8186.43,8186.38,3451,ML Int Cluster,U23.60,23.60,33.78,1.05,D875.64,3003.12,875.64,0.219,12,22,0.67,0.28,168,57.39,,2250,2233,2251,2235,3127,3104,35.0764080,-119.3861964,693.76,,8.625,X52,ERW,1363
MFL,191,,,8188.33,8188.31,3452,ML Int,U25.50,25.50,31.88,1.01,D873.74,3005.02,873.74,0.219,12,22,0.27,0.27,161,57.39,,2264,2261,2263,2259,3143,3138,35.0764079,-119.3861900,693.73,,8.625,X52,ERW,1363
MFL,191,,,8188.64,8188.63,3453,ML Int,U25.82,25.82,31.57,1.07,D873.42,3005.34,873.42,0.219,11,21,0.28,0.28,170,57.39,,2264,2261,2263,2260,3144,3138,35.0764079,-119.3861889,693.72,,8.625,X52,ERW,1363
MFL,191,,,8190.09,8190.07,3454,ML Int,U27.26,27.26,30.12,1.05,D871.98,3006.78,871.98,0.219,12,22,0.27,0.27,168,57.39,,2264,2261,2263,2259,3143,3138,35.0764078,-119.3861843,693.70,,8.625,X52,ERW,1363
MFL,191,,,8205.95,8205.93,3455,ML Int,D14.26,43.12,14.26,1.07,D856.12,3022.64,856.12,0.219,12,22,0.27,0.27,170,57.39,,2264,2261,2263,2259,3143,3138,35.0764067,-119.3861317,693.47,,8.625,X52,ERW,1363
MFL,191,,,8218.13,8218.12,3456,ML Int,D2.07,55.31,2.07,1.07,D843.93,3034.83,843.93,0.219,11,21,0.28,0.28,170,57.39,,2264,2261,2263,2260,3144,3138,35.0764058,-119.3860906,693.31,,8.625,X52,ERW,1363
MFL,192,1.557,78+17,8220.21,,3457,Weld,U57.39,57.39,59.31,,D841.85,3036.91,841.85,0.219,,,,,,59.31,359,,,,,,,35.0764056,-119.3860837,693.28,,8.625,X52,ERW,1363
MFL,192,,,8248.91,8248.90,3458,ML Int Cluster,U28.70,28.70,30.61,1.05,D813.15,3065.61,813.15,0.219,11,21,0.47,0.28,167,59.31,,2259,2250,2257,2246,3135,3120,35.0764031,-119.3859886,692.77,,8.625,X52,ERW,1363
MFL,192,,,8271.73,8271.72,3459,ML Int,D7.78,51.53,7.78,1.05,D790.33,3088.43,790.33,0.219,10,20,0.28,0.28,168,59.31,,2264,2261,2264,2260,3144,3139,35.0764003,-119.3859121,692.13,,8.625,X52,ERW,1363
MFL,192,,,8273.61,8273.60,3460,ML Int,D5.91,53.40,5.91,1.05,D788.45,3090.31,788.45,0.219,11,21,0.28,0.28,168,59.31,,2264,2261,2263,2260,3144,3138,35.0764001,-119.3859060,692.08,,8.625,X52,ERW,1363
MFL,193,1.568,78+76,8279.52,,3461,Weld,D59.08,59.31,59.08,,D782.54,3096.22,782.54,0.219,,,,,,59.08,273,,,,,,,35.0763994,-119.3858865,691.92,,8.625,X52,ERW,1363
MFL,193,,,8285.36,8285.35,3462,ML Int Cluster,U5.84,5.84,53.24,1.07,D776.71,3102.05,776.71,0.219,11,21,0.94,0.41,171,59.08,,2239,2209,2249,2230,3124,3098,35.0763986,-119.3858670,691.80,,8.625,X52,ERW,1363
MFL,193,,,8286.00,8285.99,3463,ML Int,U6.48,6.48,52.59,1.06,D776.06,3102.70,776.06,0.219,10,20,0.27,0.27,169,59.08,,2264,2261,2264,2260,3144,3139,35.0763986,-119.3858650,691.79,,8.625,X52,ERW,1363
MFL,193,,,8286.20,8286.18,3464,ML Int,U6.68,6.68,52.39,1.05,D775.86,3102.90,775.86,0.219,10,20,0.27,0.27,167,59.08,,2264,2261,2264,2260,3144,3139,35.0763985,-119.3858642,691.79,,8.625,X52,ERW,1363
MFL,193,,,8286.64,8286.63,3465,ML Int,U7.12,7.12,51.96,1.02,D775.42,3103.34,775.42,0.219,12,22,0.28,0.28,162,59.08,,2264,2261,2263,2259,3143,3138,35.0763985,-119.3858629,691.78,,8.625,X52,ERW,1363
MFL,193,,,8287.32,8287.31,3466,ML Int,U7.80,7.80,51.28,1.06,D774.74,3104.02,774.74,0.219,10,20,0.20,0.48,169,59.08,,2266,2264,2265,2263,3146,3144,35.0763984,-119.3858605,691.76,,8.625,X52,ERW,1363
MFL,193,,,8287.53,8287.52,3467,ML Int,U8.02,8.02,51.06,1.03,D774.53,3104.23,774.53,0.219,11,21,0.27,0.27,165,59.08,,2264,2261,2264,2260,3144,3138,35.0763984,-119.3858599,691.76,,8.625,X52,ERW,1363
MFL,193,,,8287.84,8287.83,3468,ML Int Cluster,U8.32,8.32,50.75,1.03,D774.22,3104.54,774.22,0.219,12,22,1.33,0.41,165,59.08,,2215,2164,2244,2222,3117,3087,35.0763983,-119.3858588,691.75,,8.625,X52,ERW,1363
MFL,193,,,8288.15,8288.14,3469,ML Int,U8.63,8.63,50.44,1.03,D773.91,3104.85,773.91,0.219,11,21,0.27,0.27,164,59.08,,2264,2261,2264,2260,3144,3138,35.0763983,-119.3858578,691.75,,8.625,X52,ERW,1363
MFL,193,,,8291.27,8291.26,3470,ML Int,U11.76,11.76,47.32,1.02,D770.79,3107.97,770.79,0.219,10,20,0.28,0.28,163,59.08,,2264,2261,2264,2260,3144,3139,35.0763979,-119.3858474,691.69,,8.625,X52,ERW,1363
MFL,193,,,8291.98,8291.97,3471,ML Int,U12.46,12.46,46.62,1.06,D770.08,3108.68,770.08,0.219,12,22,0.27,0.27,169,59.08,,2264,2261,2263,2259,3143,3138,35.0763978,-119.3858450,691.67,,8.625,X52,ERW,1363
MFL,193,,,8293.63,8293.62,3472,ML Int,U14.12,14.12,44.96,1.04,D768.43,3110.33,768.43,0.219,11,21,0.27,0.27,166,59.08,,2264,2261,2264,2260,3144,3138,35.0763976,-119.3858396,691.64,,8.625,X52,ERW,1363
MFL,193,,,8294.65,8294.63,3473,ML Int Cluster,U15.13,15.13,43.95,1.02,D767.41,3111.35,767.41,0.219,11,21,1.02,0.54,163,59.08,,2235,2201,2248,2229,3123,3096,35.0763974,-119.3858361,691.62,,8.625,X52,ERW,1363
MFL,193,,,8295.40,8295.37,3474,ML Int Cluster,U15.88,15.88,43.20,1.03,D766.67,3112.09,766.67,0.219,24,34,0.51,1.50,165,59.08,,2244,2230,2241,2224,3112,3089,35.0763973,-119.3858337,691.61,,8.625,X52,ERW,1363
MFL,193,,,8297.77,8297.76,3475,ML Int,U18.26,18.26,40.82,1.05,D764.29,3114.47,764.29,0.219,11,21,0.28,0.28,167,59.08,,2264,2261,2263,2260,3144,3138,35.0763970,-119.3858258,691.58,,8.625,X52,ERW,1363
MFL,193,,,8300.71,8300.70,3476,ML Int,U21.19,21.19,37.88,1.05,D761.35,3117.41,761.35,0.219,10,20,0.28,0.28,167,59.08,,2264,2261,2264,2260,3144,3139,35.0763966,-119.3858161,691.55,,8.625,X52,ERW,1363
MFL,193,,,8301.39,8301.38,3477,ML Int,U21.88,21.88,37.20,1.03,D760.67,3118.09,760.67,0.219,10,20,0.27,0.27,165,59.08,,2264,2261,2264,2260,3144,3139,35.0763965,-119.3858137,691.54,,8.625,X52,ERW,1363
MFL,193,,,8302.50,8302.48,3478,ML Int,U22.98,22.98,36.10,1.05,D759.56,3119.20,759.56,0.219,11,21,0.27,0.27,167,59.08,,2264,2261,2263,2260,3144,3138,35.0763964,-119.3858100,691.52,,8.625,X52,ERW,1363
MFL,193,,,8303.90,8303.88,3479,ML Int,U24.38,24.38,34.70,1.03,D758.17,3120.59,758.17,0.219,10,20,0.28,0.28,165,59.08,,2264,2261,2264,2260,3144,3139,35.0763962,-119.3858054,691.51,,8.625,X52,ERW,1363
MFL,193,,,8304.48,8304.47,3480,ML Int,U24.96,24.96,34.11,1.02,D757.58,3121.18,757.58,0.219,10,20,0.28,0.28,163,59.08,,2264,2261,2264,2260,3144,3139,35.0763961,-119.3858035,691.50,,8.625,X52,ERW,1363
MFL,193,,,8305.77,8305.75,3481,ML Int,U26.25,26.25,32.82,1.06,D756.29,3122.47,756.29,0.219,25,35,0.43,0.43,169,59.08,,2249,2239,2245,2232,3118,3099,35.0763959,-119.3857993,691.48,,8.625,X52,ERW,1363
MFL,193,,,8307.22,8307.21,3482,ML Int,U27.70,27.70,31.37,1.02,D754.84,3123.92,754.84,0.219,11,21,0.27,0.27,163,59.08,,2264,2261,2264,2260,3144,3138,35.0763957,-119.3857944,691.46,,8.625,X52,ERW,1363
MFL,193,,,8308.79,8308.78,3483,ML Int,U29.27,29.27,29.80,1.02,D753.27,3125.49,753.27,0.219,11,21,0.27,0.27,163,59.08,,2264,2261,2264,2260,3144,3138,35.0763955,-119.3857893,691.44,,8.625,X52,ERW,1363
MFL,193,,,8309.06,8309.04,3484,ML Int,U29.54,29.54,29.54,1.03,D753.01,3125.75,753.01,0.219,19,29,0.27,0.27,165,59.08,,2262,2258,2260,2256,3139,3133,35.0763955,-119.3857884,691.44,,8.625,X52,ERW,1363
MFL,193,,,8310.75,8310.73,3485,ML Int,D27.85,31.23,27.85,1.06,D751.32,3127.44,751.32,0.219,10,20,0.27,0.27,169,59.08,,2264,2261,2264,2260,3144,3139,35.0763953,-119.3857828,691.42,,8.625,X52,ERW,1363
MFL,193,,,8311.10,8311.08,3486,ML Int,D27.50,31.58,27.50,1.06,D750.97,3127.79,750.97,0.219,10,20,0.27,0.27,169,59.08,,2264,2261,2264,2260,3144,3139,35.0763952,-119.3857817,691.42,,8.625,X52,ERW,1363
MFL,193,,,8312.16,8312.15,3487,ML Int,D26.43,32.65,26.43,1.07,D749.90,3128.86,749.90,0.219,11,21,0.27,0.27,171,59.08,,2264,2261,2264,2260,3144,3138,35.0763951,-119.3857780,691.40,,8.625,X52,ERW,1363
MFL,193,,,8312.41,8312.39,3488,ML Int,D26.18,32.89,26.18,1.05,D749.65,3129.11,749.65,0.219,11,21,0.27,0.27,167,59.08,,2264,2261,2264,2260,3144,3138,35.0763950,-119.3857772,691.40,,8.625,X52,ERW,1363
MFL,193,,,8312.72,8312.71,3489,ML Int Cluster,D25.87,33.21,25.87,1.03,D749.34,3129.42,749.34,0.219,11,21,1.49,0.81,165,59.08,,2212,2155,2245,2223,3118,3088,35.0763950,-119.3857761,691.39,,8.625,X52,ERW,1363
MFL,193,,,8314.01,8313.92,3490,ML Int Cluster,D24.58,34.49,24.58,1.06,D748.05,3130.71,748.05,0.219,12,22,1.18,0.54,169,59.08,,2224,2181,2246,2225,3120,3091,35.0763948,-119.3857718,691.38,,8.625,X52,ERW,1363
MFL,193,,,8314.92,8314.91,3491,ML Int,D23.67,35.40,23.67,1.06,D747.14,3131.62,747.14,0.219,14,24,0.27,0.27,169,59.08,,2263,2260,2262,2258,3142,3136,35.0763947,-119.3857688,691.37,,8.625,X52,ERW,1363
MFL,193,,,8315.39,8315.37,3492,ML Int,D23.21,35.87,23.21,1.03,D746.68,3132.08,746.68,0.219,10,20,0.28,0.28,165,59.08,,2264,2261,2264,2260,3144,3139,35.0763946,-119.3857673,691.36,,8.625,X52,ERW,1363
MFL,193,,,8315.61,8315.59,3493,ML Int,D22.99,36.09,22.99,1.03,D746.45,3132.31,746.45,0.219,11,21,0.27,0.27,165,59.08,,2264,2261,2264,2260,3144,3138,35.0763946,-119.3857666,691.36,,8.625,X52,ERW,1363
MFL,193,,,8317.38,8317.36,3494,ML Int,D21.22,37.86,21.22,1.06,D744.69,3134.07,744.69,0.219,11,21,0.27,0.27,169,59.08,,2264,2261,2264,2260,3144,3138,35.0763944,-119.3857608,691.33,,8.625,X52,ERW,1363
MFL,193,,,8320.79,8320.77,3495,ML Int Cluster,D17.81,41.27,17.81,1.03,D741.28,3137.48,741.28,0.219,11,21,0.35,0.68,165,59.08,,2262,2257,2261,2255,3141,3132,35.0763939,-119.3857494,691.23,,8.625,X52,ERW,1363
