ILI Tool,Pipe Joint Number,Approx. Milepost (miles),Adjstd Map Sta (ft) (CDS),Odometer (ft),Odometer Distance to Peak Depth (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Length (in),Width (in),Oreintation (Degrees),Oreintation Peak Depth (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Max Depth + Tolerance (%),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,4230,3.617,191+00,19223.59,19223.62,5770,ML Int ,D13.72,45.67,13.72,U587.24,587.24,1366.61,0.219,10,0.31,0.23,210,211,59.39,,2264,2263,3143,20,2260,2258,3136,35.0762755,-119.3496314,554.89,,8.625,X52,ERW,1363
MFL,4230,3.618,191+02,19224.80,19224.81,5771,ML Int ,D12.51,46.88,12.51,U588.45,588.45,1365.41,0.219,12,0.23,0.23,208,209,59.39,,2265,2264,3145,22,2262,2261,3141,35.0762759,-119.3496274,554.90,,8.625,X52,ERW,1363
MFL,4240,3.620,191+14,19237.32,,5772,Weld,D59.38,59.39,59.38,U600.96,600.96,1352.89,0.219,,,,,,59.38,9,,,,,,,,35.0762796,-119.3495862,555.13,,8.625,X52,ERW,1363
MFL,4240,3.620,191+14,19237.48,19237.51,5773,ML Ext ,U0.16,0.16,59.22,U601.12,601.12,1352.73,0.219,21,0.67,0.84,200,202,59.38,,2235,2228,3094,31,2214,2201,3058,35.0762797,-119.3495856,555.13,,8.625,X52,ERW,1363
MFL,4240,3.625,191+41,19264.63,19264.64,5774,ML Int ,U27.31,27.31,32.07,U628.28,628.28,1325.58,0.219,11,0.23,0.23,198,200,59.38,,2265,2264,3145,21,2263,2262,3141,35.0762886,-119.3494964,556.33,,8.625,X52,ERW,1363
MFL,4240,3.625,191+42,19265.64,19265.65,5775,ML Int ,U28.32,28.32,31.06,U629.28,629.28,1324.57,0.219,12,0.23,0.27,198,200,59.38,,2265,2264,3145,22,2262,2261,3141,35.0762890,-119.3494931,556.35,,8.625,X52,ERW,1363
MFL,4240,3.628,191+55,19278.11,19278.13,5776,ML Int ,D18.58,40.80,18.58,U641.76,641.76,1312.09,0.219,13,0.23,0.23,200,202,59.38,,2264,2264,3144,23,2262,2261,3140,35.0762931,-119.3494521,556.26,,8.625,X52,ERW,1363
MFL,4240,3.628,191+56,19279.39,19279.40,5777,ML Int ,D17.30,42.08,17.30,U643.04,643.04,1310.82,0.219,10,0.23,0.23,200,202,59.38,,2265,2265,3145,20,2263,2262,3141,35.0762936,-119.3494479,556.24,,8.625,X52,ERW,1363
MFL,4240,3.631,191+71,19294.28,19294.30,5778,ML Int ,D2.41,56.97,2.41,U657.93,657.93,1295.92,0.219,11,0.23,0.23,200,202,59.38,,2265,2264,3145,21,2262,2262,3141,35.0762986,-119.3493988,555.94,,8.625,X52,ERW,1363
MFL,4250,3.631,191+73,19296.70,,5779,Weld,D58.96,59.38,58.96,U660.34,660.34,1293.51,0.219,,,,,,58.96,47,,,,,,,,35.0762995,-119.3493909,555.93,,8.625,X52,ERW,1363
MFL,4250,3.633,191+81,19304.07,19304.08,5780,ML Int ,U7.37,7.37,51.58,U667.71,667.71,1286.14,0.219,17,0.23,0.24,196,198,58.96,,2263,2263,3143,27,2261,2259,3138,35.0763020,-119.3493667,555.92,,8.625,X52,ERW,1363
MFL,4250,3.633,191+81,19304.57,19304.58,5781,ML Int ,U7.87,7.87,51.09,U668.21,668.21,1285.64,0.219,13,0.23,0.23,202,204,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763022,-119.3493650,555.92,,8.625,X52,ERW,1363
MFL,4250,3.633,191+82,19304.96,19305.00,5782,ML Int Cluster,U8.26,8.26,50.70,U668.60,668.60,1285.25,0.219,16,0.63,0.80,196,200,58.96,,2246,2250,3125,26,2229,2235,3105,35.0763023,-119.3493637,555.92,,8.625,X52,ERW,1363
MFL,4250,3.633,191+82,19305.44,19305.45,5783,ML Int ,U8.75,8.75,50.21,U669.09,669.09,1284.77,0.219,11,0.23,0.23,196,198,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763025,-119.3493621,555.93,,8.625,X52,ERW,1363
MFL,4250,3.633,191+82,19305.76,19305.77,5784,ML Int ,U9.07,9.07,49.89,U669.41,669.41,1284.45,0.219,15,0.23,0.23,198,200,58.96,,2264,2263,3144,25,2261,2260,3139,35.0763026,-119.3493611,555.93,,8.625,X52,ERW,1363
MFL,4250,3.633,191+83,19306.00,19306.01,5785,ML Int ,U9.31,9.31,49.65,U669.65,669.65,1284.21,0.219,11,0.23,0.23,200,202,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763027,-119.3493603,555.94,,8.625,X52,ERW,1363
MFL,4250,3.633,191+83,19306.25,19306.26,5786,ML Int ,U9.56,9.56,49.40,U669.90,669.90,1283.95,0.219,11,0.23,0.23,198,200,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763028,-119.3493595,555.94,,8.625,X52,ERW,1363
MFL,4250,3.633,191+83,19306.44,19306.45,5787,ML Int Cluster,U9.74,9.74,49.21,U670.08,670.08,1283.77,0.219,15,1.29,0.38,198,200,58.96,,2203,2243,3116,25,2152,2225,3090,35.0763029,-119.3493589,555.94,,8.625,X52,ERW,1363
MFL,4250,3.633,191+84,19306.95,19306.96,5788,ML Int ,U10.26,10.26,48.70,U670.60,670.60,1283.25,0.219,12,0.23,0.23,200,202,58.96,,2265,2264,3145,22,2262,2261,3141,35.0763030,-119.3493572,555.95,,8.625,X52,ERW,1363
MFL,4250,3.633,191+84,19307.10,19307.11,5789,ML Int ,U10.40,10.40,48.56,U670.74,670.74,1283.11,0.219,18,0.23,0.23,196,198,58.96,,2263,2262,3142,28,2261,2259,3138,35.0763031,-119.3493567,555.95,,8.625,X52,ERW,1363
MFL,4250,3.633,191+84,19307.70,19307.71,5790,ML Int ,U11.01,11.01,47.95,U671.35,671.35,1282.51,0.219,13,0.23,0.23,198,200,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763033,-119.3493547,555.96,,8.625,X52,ERW,1363
MFL,4250,3.634,191+85,19308.57,19308.58,5791,ML Int Cluster,U11.88,11.88,47.08,U672.22,672.22,1281.64,0.219,17,0.23,1.05,194,196,58.96,,2263,2263,3143,27,2261,2259,3138,35.0763036,-119.3493519,555.97,,8.625,X52,ERW,1363
MFL,4250,3.634,191+87,19309.91,19309.92,5792,ML Int ,U13.21,13.21,45.75,U673.55,673.55,1280.30,0.219,16,0.23,0.24,206,207,58.96,,2264,2263,3143,26,2261,2260,3139,35.0763041,-119.3493475,555.99,,8.625,X52,ERW,1363
MFL,4250,3.634,191+87,19310.74,19310.75,5793,ML Int ,U14.05,14.05,44.91,U674.39,674.39,1279.47,0.219,11,0.23,0.23,204,206,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763044,-119.3493447,556.01,,8.625,X52,ERW,1363
MFL,4250,3.634,191+88,19311.02,19311.03,5794,ML Int ,U14.32,14.32,44.64,U674.66,674.66,1279.19,0.219,17,0.31,0.79,198,204,58.96,,2261,2260,3138,27,2256,2254,3130,35.0763045,-119.3493438,556.01,,8.625,X52,ERW,1363
MFL,4250,3.634,191+88,19311.29,19311.30,5795,ML Int ,U14.59,14.59,44.36,U674.93,674.93,1278.92,0.219,14,0.23,0.27,200,200,58.96,,2264,2264,3144,24,2262,2260,3140,35.0763046,-119.3493429,556.02,,8.625,X52,ERW,1363
MFL,4250,3.634,191+88,19311.69,19311.70,5796,ML Int Cluster,U15.00,15.00,43.96,U675.34,675.34,1278.52,0.219,11,2.86,0.52,196,200,58.96,,2161,2229,3096,21,2054,2191,3044,35.0763047,-119.3493416,556.02,,8.625,X52,ERW,1363
MFL,4250,3.634,191+89,19312.02,19312.02,5797,ML Int ,U15.32,15.32,43.64,U675.66,675.66,1278.19,0.219,11,0.23,0.23,198,200,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763048,-119.3493405,556.03,,8.625,X52,ERW,1363
MFL,4250,3.634,191+89,19312.48,19312.49,5798,ML Int Cluster,U15.79,15.79,43.17,U676.13,676.13,1277.73,0.219,12,0.90,0.54,198,202,58.96,,2238,2251,3126,22,2210,2235,3105,35.0763050,-119.3493390,556.03,,8.625,X52,ERW,1363
MFL,4250,3.634,191+90,19313.28,19313.29,5799,ML Int ,U16.59,16.59,42.37,U676.93,676.93,1276.92,0.219,16,0.31,0.69,198,202,58.96,,2261,2260,3139,26,2257,2254,3131,35.0763053,-119.3493364,556.05,,8.625,X52,ERW,1363
MFL,4250,3.634,191+90,19313.77,19313.85,5800,ML Int Cluster,U17.07,17.07,41.89,U677.41,677.41,1276.44,0.219,12,1.09,0.40,198,202,58.96,,2228,2249,3124,22,2189,2232,3100,35.0763054,-119.3493348,556.05,,8.625,X52,ERW,1363
MFL,4250,3.635,191+91,19314.04,19314.05,5801,ML Int ,U17.34,17.34,41.62,U677.68,677.68,1276.17,0.219,16,0.31,0.84,196,200,58.96,,2261,2260,3139,26,2257,2254,3131,35.0763055,-119.3493339,556.06,,8.625,X52,ERW,1363
MFL,4250,3.635,191+92,19315.05,19315.06,5802,ML Int ,U18.36,18.36,40.60,U678.70,678.70,1275.15,0.219,12,0.23,0.27,200,200,58.96,,2265,2264,3145,22,2262,2261,3141,35.0763059,-119.3493305,556.07,,8.625,X52,ERW,1363
MFL,4250,3.635,191+92,19315.34,19315.35,5803,ML Int ,U18.65,18.65,40.31,U678.99,678.99,1274.87,0.219,18,0.31,0.66,198,202,58.96,,2260,2259,3138,28,2256,2253,3129,35.0763060,-119.3493296,556.08,,8.625,X52,ERW,1363
MFL,4250,3.635,191+92,19315.49,19315.50,5804,ML Int ,U18.80,18.80,40.16,U679.14,679.14,1274.72,0.219,12,0.23,0.23,196,198,58.96,,2265,2264,3145,22,2262,2261,3141,35.0763060,-119.3493291,556.08,,8.625,X52,ERW,1363
MFL,4250,3.635,191+92,19315.63,19315.74,5805,ML Int Cluster,U18.93,18.93,40.03,U679.27,679.27,1274.58,0.219,16,1.41,0.36,200,202,58.96,,2190,2242,3115,26,2132,2224,3089,35.0763061,-119.3493287,556.08,,8.625,X52,ERW,1363
MFL,4250,3.635,191+93,19316.57,19316.58,5806,ML Int ,U19.88,19.88,39.08,U680.22,680.22,1273.64,0.219,11,0.23,0.23,198,200,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763064,-119.3493256,556.09,,8.625,X52,ERW,1363
MFL,4250,3.635,191+93,19316.73,19316.74,5807,ML Int ,U20.04,20.04,38.92,U680.38,680.38,1273.48,0.219,11,0.23,0.23,198,200,58.96,,2265,2264,3145,21,2263,2262,3141,35.0763065,-119.3493250,556.10,,8.625,X52,ERW,1363
MFL,4250,3.635,191+94,19317.34,19317.35,5808,ML Int ,U20.64,20.64,38.32,U680.98,680.98,1272.87,0.219,11,0.23,0.23,192,194,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763067,-119.3493230,556.11,,8.625,X52,ERW,1363
MFL,4250,3.635,191+94,19317.74,19317.75,5809,ML Int ,U21.05,21.05,37.91,U681.39,681.39,1272.47,0.219,11,0.23,0.23,198,200,58.96,,2265,2264,3145,21,2263,2262,3141,35.0763068,-119.3493217,556.11,,8.625,X52,ERW,1363
MFL,4250,3.635,191+95,19318.32,19318.33,5810,ML Int ,U21.63,21.63,37.33,U681.97,681.97,1271.89,0.219,10,0.23,0.40,198,200,58.96,,2265,2265,3145,20,2263,2262,3141,35.0763070,-119.3493198,556.12,,8.625,X52,ERW,1363
MFL,4250,3.635,191+95,19318.82,19318.83,5811,ML Int ,U22.12,22.12,36.83,U682.46,682.46,1271.39,0.219,11,0.23,0.23,196,198,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763072,-119.3493182,556.13,,8.625,X52,ERW,1363
MFL,4250,3.636,191+96,19319.04,19319.05,5812,ML Int ,U22.35,22.35,36.61,U682.69,682.69,1271.16,0.219,11,0.23,0.23,196,198,58.96,,2265,2264,3145,21,2263,2262,3141,35.0763073,-119.3493174,556.13,,8.625,X52,ERW,1363
MFL,4250,3.636,191+96,19319.37,19319.38,5813,ML Int ,U22.68,22.68,36.28,U683.02,683.02,1270.83,0.219,15,0.23,0.23,198,200,58.96,,2264,2263,3144,25,2261,2260,3139,35.0763074,-119.3493163,556.14,,8.625,X52,ERW,1363
MFL,4250,3.636,191+96,19319.64,19319.65,5814,ML Int ,U22.95,22.95,36.01,U683.29,683.29,1270.57,0.219,11,0.23,0.23,200,202,58.96,,2265,2264,3145,21,2263,2262,3141,35.0763075,-119.3493155,556.14,,8.625,X52,ERW,1363
MFL,4250,3.636,191+96,19319.82,19319.83,5815,ML Int ,U23.13,23.13,35.83,U683.47,683.47,1270.38,0.219,12,0.23,0.23,200,202,58.96,,2265,2264,3145,22,2262,2261,3141,35.0763076,-119.3493149,556.14,,8.625,X52,ERW,1363
MFL,4250,3.636,191+98,19320.98,19321.03,5816,ML Int Cluster,U24.29,24.29,34.67,U684.63,684.63,1269.23,0.219,11,0.70,0.52,194,200,58.96,,2250,2255,3131,21,2231,2241,3112,35.0763080,-119.3493111,556.16,,8.625,X52,ERW,1363
MFL,4250,3.636,191+98,19321.16,19321.17,5817,ML Int ,U24.47,24.47,34.49,U684.81,684.81,1269.05,0.219,13,0.23,0.23,200,202,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763080,-119.3493105,556.16,,8.625,X52,ERW,1363
MFL,4250,3.636,191+99,19322.40,19322.42,5818,ML Ext ,U25.71,25.71,33.25,U686.05,686.05,1267.81,0.219,11,0.35,0.64,162,164,58.96,,2262,2261,3141,21,2257,2255,3132,35.0763085,-119.3493064,556.18,,8.625,X52,ERW,1363
MFL,4250,3.636,191+99,19322.79,19322.80,5819,ML Int ,U26.09,26.09,32.87,U686.43,686.43,1267.42,0.219,11,0.23,0.24,196,198,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763086,-119.3493051,556.19,,8.625,X52,ERW,1363
MFL,4250,3.636,191+99,19322.89,19322.93,5820,ML Int Cluster,U26.20,26.20,32.76,U686.54,686.54,1267.32,0.219,11,0.55,0.40,198,200,58.96,,2256,2257,3134,21,2244,2245,3118,35.0763086,-119.3493048,556.19,,8.625,X52,ERW,1363
MFL,4250,3.636,192+00,19323.02,19323.03,5821,ML Int ,U26.33,26.33,32.63,U686.67,686.67,1267.19,0.219,12,0.23,0.23,200,202,58.96,,2265,2264,3145,22,2262,2261,3141,35.0763087,-119.3493044,556.19,,8.625,X52,ERW,1363
MFL,4250,3.636,192+00,19323.31,19323.54,5822,ML Ext Cluster,U26.61,26.61,32.35,U686.95,686.95,1266.90,0.219,24,3.68,3.86,70,100,58.96,,1980,2104,2922,34,1843,1985,2757,35.0763088,-119.3493034,556.20,,8.625,X52,ERW,1363
MFL,4250,3.636,192+00,19323.86,19323.90,5823,ML Ext Cluster,U27.16,27.16,31.79,U687.50,687.50,1266.35,0.219,31,10.52,10.31,59,136,58.96,,1759,2075,2882,41,1584,1964,2727,35.0763090,-119.3493016,556.20,,8.625,X52,ERW,1363
MFL,4250,3.636,192+00,19323.90,19323.92,5824,ML Ext Cluster,U27.21,27.21,31.75,U687.55,687.55,1266.31,0.219,12,0.98,0.97,59,63,58.96,,2234,2244,3116,22,2202,2220,3083,35.0763090,-119.3493015,556.20,,8.625,X52,ERW,1363
MFL,4250,3.636,192+00,19323.91,19323.92,5825,ML Int ,U27.21,27.21,31.75,U687.55,687.55,1266.30,0.219,11,0.23,0.40,198,200,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763090,-119.3493015,556.20,,8.625,X52,ERW,1363
MFL,4250,3.637,192+01,19324.15,19324.16,5826,ML Int ,U27.45,27.45,31.50,U687.79,687.79,1266.06,0.219,13,0.23,0.30,202,204,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763091,-119.3493007,556.21,,8.625,X52,ERW,1363
MFL,4250,3.637,192+01,19324.19,19324.20,5827,ML Ext ,U27.49,27.49,31.47,U687.83,687.83,1266.02,0.219,10,0.31,0.54,233,237,58.96,,2264,2263,3143,20,2260,2258,3136,35.0763091,-119.3493005,556.21,,8.625,X52,ERW,1363
MFL,4250,3.637,192+01,19324.24,19324.38,5828,ML Ext Cluster At Seam,U27.55,27.55,31.41,U687.89,687.89,1265.97,0.219,10,1.88,3.79,46,54,58.96,,2202,2221,3085,20,2128,2172,3016,35.0763091,-119.3493004,556.21,,8.625,X52,ERW,1363
MFL,4250,3.637,192+01,19324.25,19324.26,5829,ML Int ,U27.56,27.56,31.40,U687.90,687.90,1265.95,0.219,13,0.23,0.23,200,202,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763091,-119.3493003,556.21,,8.625,X52,ERW,1363
MFL,4250,3.637,192+01,19324.67,19324.69,5830,ML Ext ,U27.97,27.97,30.99,U688.31,688.31,1265.54,0.219,11,0.39,0.80,35,36,58.96,,2261,2260,3139,21,2255,2252,3128,35.0763092,-119.3492989,556.22,,8.625,X52,ERW,1363
MFL,4250,3.637,192+01,19324.73,19324.76,5831,ML Ext Cluster,U28.04,28.04,30.92,U688.37,688.37,1265.48,0.219,11,0.59,1.86,110,114,58.96,,2255,2253,3129,21,2241,2236,3106,35.0763093,-119.3492987,556.22,,8.625,X52,ERW,1363
MFL,4250,3.637,192+01,19324.81,19325.01,5832,ML Ext Cluster At Seam,U28.11,28.11,30.85,U688.45,688.45,1265.40,0.219,29,4.03,14.65,44,207,58.96,,1897,2089,2902,39,1749,1909,2651,35.0763093,-119.3492985,556.22,,8.625,X52,ERW,1363
MFL,4250,3.637,192+02,19325.17,19325.19,5833,ML Ext Cluster,U28.48,28.48,30.48,U688.81,688.81,1265.04,0.219,46,3.09,3.19,132,172,58.96,,1712,2118,2941,56,1554,2055,2854,35.0763094,-119.3492973,556.22,,8.625,X52,ERW,1363
MFL,4250,3.637,192+02,19325.53,19325.55,5834,ML Ext Cluster,U28.83,28.83,30.13,U689.17,689.17,1264.68,0.219,11,0.78,2.04,148,154,58.96,,2246,2242,3115,21,2224,2215,3076,35.0763095,-119.3492961,556.23,,8.625,X52,ERW,1363
MFL,4250,3.637,192+02,19325.71,19325.74,5835,ML Ext ,U29.01,29.01,29.95,U689.35,689.35,1264.50,0.219,11,0.90,0.96,102,102,58.96,,2241,2236,3106,21,2213,2201,3057,35.0763096,-119.3492955,556.23,,8.625,X52,ERW,1363
MFL,4250,3.637,192+03,19326.12,19326.13,5836,ML Int ,U29.42,29.42,29.54,U689.76,689.76,1264.09,0.219,10,0.23,0.40,194,196,58.96,,2265,2265,3145,20,2263,2262,3141,35.0763098,-119.3492942,556.24,,8.625,X52,ERW,1363
MFL,4250,3.637,192+04,19327.43,19327.44,5837,ML Int ,D28.23,30.73,28.23,U691.07,691.07,1262.78,0.219,10,0.23,0.23,196,198,58.96,,2265,2265,3145,20,2263,2262,3141,35.0763102,-119.3492899,556.26,,8.625,X52,ERW,1363
MFL,4250,3.637,192+04,19327.66,19327.67,5838,ML Int ,D27.99,30.97,27.99,U691.31,691.31,1262.55,0.219,16,0.23,0.23,198,200,58.96,,2264,2263,3143,26,2261,2260,3139,35.0763103,-119.3492891,556.26,,8.625,X52,ERW,1363
MFL,4250,3.637,192+04,19327.83,19327.84,5839,ML Int ,D27.82,31.14,27.82,U691.48,691.48,1262.38,0.219,18,0.23,0.23,198,200,58.96,,2263,2262,3142,28,2261,2259,3138,35.0763104,-119.3492886,556.26,,8.625,X52,ERW,1363
MFL,4250,3.637,192+05,19328.07,19328.08,5840,ML Int ,D27.58,31.38,27.58,U691.72,691.72,1262.13,0.219,11,0.23,0.40,200,202,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763104,-119.3492878,556.27,,8.625,X52,ERW,1363
MFL,4250,3.637,192+05,19328.29,19328.30,5841,ML Int ,D27.36,31.59,27.36,U691.93,691.93,1261.92,0.219,13,0.23,0.25,196,196,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763105,-119.3492870,556.27,,8.625,X52,ERW,1363
MFL,4250,3.637,192+05,19328.50,19328.51,5842,ML Int ,D27.16,31.80,27.16,U692.14,692.14,1261.71,0.219,12,0.23,0.23,200,202,58.96,,2265,2264,3145,22,2262,2261,3141,35.0763106,-119.3492864,556.27,,8.625,X52,ERW,1363
MFL,4250,3.637,192+05,19328.80,19328.86,5843,ML Int Cluster,D26.86,32.10,26.86,U692.44,692.44,1261.41,0.219,14,0.86,0.43,194,196,58.96,,2236,2250,3125,24,2208,2234,3103,35.0763107,-119.3492854,556.28,,8.625,X52,ERW,1363
MFL,4250,3.638,192+06,19329.15,19329.18,5844,ML Int Cluster,D26.50,32.46,26.50,U692.80,692.80,1261.05,0.219,17,0.39,0.38,194,198,58.96,,2258,2256,3134,27,2251,2247,3121,35.0763108,-119.3492842,556.28,,8.625,X52,ERW,1363
MFL,4250,3.638,192+06,19329.46,19329.47,5845,ML Int ,D26.19,32.77,26.19,U693.11,693.11,1260.74,0.219,13,0.23,0.23,200,202,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763109,-119.3492832,556.29,,8.625,X52,ERW,1363
MFL,4250,3.638,192+06,19329.61,19329.62,5846,ML Int ,D26.04,32.92,26.04,U693.25,693.25,1260.60,0.219,16,0.31,0.69,198,202,58.96,,2261,2260,3139,26,2257,2254,3131,35.0763110,-119.3492827,556.29,,8.625,X52,ERW,1363
MFL,4250,3.638,192+07,19330.32,19330.33,5847,ML Int ,D25.34,33.62,25.34,U693.96,693.96,1259.89,0.219,14,0.23,0.23,196,198,58.96,,2264,2264,3144,24,2262,2260,3140,35.0763112,-119.3492804,556.30,,8.625,X52,ERW,1363
MFL,4250,3.638,192+07,19330.85,19330.87,5848,ML Int Cluster,D24.80,34.16,24.80,U694.50,694.50,1259.36,0.219,16,0.67,0.92,190,192,58.96,,2244,2248,3123,26,2225,2232,3099,35.0763114,-119.3492786,556.31,,8.625,X52,ERW,1363
MFL,4250,3.638,192+08,19331.26,19331.28,5849,ML Int Cluster,D24.39,34.57,24.39,U694.91,694.91,1258.95,0.219,18,1.10,0.38,196,198,58.96,,2206,2243,3116,28,2163,2226,3091,35.0763116,-119.3492773,556.31,,8.625,X52,ERW,1363
MFL,4250,3.638,192+08,19331.46,19331.46,5850,ML Int ,D24.20,34.76,24.20,U695.10,695.10,1258.75,0.219,15,0.23,0.23,198,200,58.96,,2264,2263,3144,25,2261,2260,3139,35.0763116,-119.3492766,556.32,,8.625,X52,ERW,1363
MFL,4250,3.638,192+09,19332.21,19332.22,5851,ML Int ,D23.45,35.51,23.45,U695.85,695.85,1258.00,0.219,12,0.23,0.30,196,198,58.96,,2265,2264,3145,22,2262,2261,3141,35.0763119,-119.3492742,556.33,,8.625,X52,ERW,1363
MFL,4250,3.639,192+12,19335.58,19335.59,5852,ML Int Cluster,D20.07,38.89,20.07,U699.23,699.23,1254.63,0.219,13,0.47,0.78,192,194,58.96,,2257,2256,3134,23,2248,2245,3118,35.0763131,-119.3492631,556.33,,8.625,X52,ERW,1363
MFL,4250,3.639,192+12,19335.90,19335.91,5853,ML Int ,D19.75,39.21,19.75,U699.55,699.55,1254.30,0.219,13,0.23,0.27,198,198,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763132,-119.3492620,556.33,,8.625,X52,ERW,1363
MFL,4250,3.639,192+13,19336.55,19336.56,5854,ML Int Cluster,D19.11,39.85,19.11,U700.19,700.19,1253.66,0.219,13,0.63,0.63,192,200,58.96,,2250,2254,3131,23,2235,2241,3113,35.0763134,-119.3492599,556.34,,8.625,X52,ERW,1363
MFL,4250,3.639,192+13,19336.82,19336.83,5855,ML Int ,D18.84,40.12,18.84,U700.46,700.46,1253.39,0.219,12,0.23,0.23,196,198,58.96,,2265,2264,3145,22,2262,2261,3141,35.0763135,-119.3492590,556.34,,8.625,X52,ERW,1363
MFL,4250,3.639,192+14,19337.21,19337.22,5856,ML Int ,D18.44,40.52,18.44,U700.86,700.86,1253.00,0.219,12,0.23,0.23,196,198,58.96,,2265,2264,3145,22,2262,2261,3141,35.0763136,-119.3492577,556.34,,8.625,X52,ERW,1363
MFL,4250,3.639,192+16,19339.10,19339.11,5857,ML Int ,D16.55,42.40,16.55,U702.74,702.74,1251.11,0.219,13,0.23,0.23,196,198,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763143,-119.3492515,556.34,,8.625,X52,ERW,1363
MFL,4250,3.639,192+16,19339.21,19339.22,5858,ML Int ,D16.45,42.51,16.45,U702.85,702.85,1251.00,0.219,16,0.23,0.23,198,200,58.96,,2264,2263,3143,26,2261,2260,3139,35.0763144,-119.3492511,556.34,,8.625,X52,ERW,1363
MFL,4250,3.639,192+16,19339.50,19339.58,5859,ML Int Cluster,D16.15,42.81,16.15,U703.15,703.15,1250.70,0.219,15,1.06,0.23,196,198,58.96,,2220,2247,3121,25,2181,2230,3097,35.0763145,-119.3492502,556.34,,8.625,X52,ERW,1363
MFL,4250,3.639,192+16,19339.68,19339.69,5860,ML Int ,D15.98,42.98,15.98,U703.32,703.32,1250.53,0.219,11,0.23,0.23,198,200,58.96,,2265,2264,3145,21,2262,2262,3141,35.0763145,-119.3492496,556.34,,8.625,X52,ERW,1363
MFL,4250,3.640,192+17,19340.24,19340.40,5861,ML Int Cluster,D15.42,43.54,15.42,U703.88,703.88,1249.97,0.219,15,2.07,0.52,196,198,58.96,,2155,2230,3098,25,2068,2201,3056,35.0763147,-119.3492478,556.34,,8.625,X52,ERW,1363
MFL,4250,3.640,192+17,19340.53,19340.54,5862,ML Int ,D15.12,43.84,15.12,U704.18,704.18,1249.68,0.219,15,0.23,0.23,200,202,58.96,,2264,2263,3144,25,2261,2260,3139,35.0763148,-119.3492468,556.35,,8.625,X52,ERW,1363
MFL,4250,3.640,192+18,19341.21,19341.22,5863,ML Int ,D14.45,44.51,14.45,U704.85,704.85,1249.00,0.219,13,0.23,0.23,196,198,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763151,-119.3492446,556.35,,8.625,X52,ERW,1363
MFL,4250,3.640,192+19,19342.09,19342.10,5864,ML Int ,D13.56,45.39,13.56,U705.73,705.73,1248.12,0.219,17,0.31,0.55,198,202,58.96,,2261,2260,3138,27,2256,2254,3130,35.0763154,-119.3492417,556.35,,8.625,X52,ERW,1363
MFL,4250,3.640,192+19,19342.76,19342.77,5865,ML Int ,D12.89,46.07,12.89,U706.41,706.41,1247.45,0.219,16,0.23,0.23,198,200,58.96,,2264,2263,3143,26,2261,2260,3139,35.0763156,-119.3492395,556.35,,8.625,X52,ERW,1363
MFL,4250,3.640,192+20,19343.02,19343.03,5866,ML Int ,D12.64,46.32,12.64,U706.66,706.66,1247.19,0.219,13,0.23,0.23,196,198,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763157,-119.3492386,556.35,,8.625,X52,ERW,1363
MFL,4250,3.640,192+20,19343.75,19343.76,5867,ML Int ,D11.91,47.05,11.91,U707.39,707.39,1246.46,0.219,13,0.23,0.23,198,200,58.96,,2264,2264,3144,23,2262,2261,3140,35.0763159,-119.3492362,556.35,,8.625,X52,ERW,1363
