BHIIdentifier,PipelineFeature,INTEXTIDOD,Odometerft,DistancetoNextPipelineFeatureft,WTin,PipeGradepsi,PipeDescription,PipeDiameterin,MOPpsi,Depth,Depthin,Lengthin,Widthin,OClockOrientationhhmm,mB31GBurstpsi,ERF,EffDepth,EffLengthin,EffAreaBurstpsi,UpstreamUSReferenceName,DistanceToUSReferenceft,DownstreamDSReferenceName,DistanceFromDSReferenceft,DistancetoUSWeldft,DistancetoDSWeldft,Length2ndUSJointft,LengthUSJointft,LengthDefectJointft,DefectJointNumber,LengthDSJointft,Length2ndDSJointft,XYZInformationNAD83Latitude,XYZInformationNAD83Longitude,XYZInformationNAVD88Elevationft,Comments
BND 44,Bend,,5791.68,0.80,0.219,35000,ERW,8.625,715,,,24.832,,,,,,,,AGM 2,843.39,Valve 607,2070.95,0.73,0.80,1.60,17.13,1.53,2650,24.63,40.78,33.6805020,-118.0069694,85.34,3.0D 46.1 deg right turn bend
GWD 2660,Girth Weld,,5792.48,24.64,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,844.19,Valve 607,2070.15,1.53,24.63,17.13,1.53,24.63,2660,40.78,40.84,33.6805025,-118.0069671,85.35,
GWD 2670,Girth Weld,,5817.11,40.78,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,868.82,Valve 607,2045.51,24.63,40.78,1.53,24.63,40.78,2670,40.84,40.57,33.6805031,-118.0068945,85.61,
GWD 2680,Girth Weld,,5857.89,40.84,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,909.60,Valve 607,2004.74,40.78,40.84,24.63,40.78,40.84,2680,40.57,40.83,33.6805040,-118.0067743,85.99,
GWD 2690,Girth Weld,,5898.73,40.57,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,950.44,Valve 607,1963.90,40.84,40.57,40.78,40.84,40.57,2690,40.83,40.83,33.6805044,-118.0066539,85.98,
GWD 2700,Girth Weld,,5939.30,40.83,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,991.01,Valve 607,1923.33,40.57,40.83,40.84,40.57,40.83,2700,40.83,0.46,33.6805047,-118.0065343,85.95,
GWD 2710,Girth Weld,,5980.13,40.83,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1031.84,Valve 607,1882.50,40.83,40.83,40.57,40.83,40.83,2710,0.46,16.05,33.6805046,-118.0064139,86.17,
GWD 2720,Girth Weld,,6020.96,0.19,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1072.67,Valve 607,1841.66,40.83,0.46,40.83,40.83,0.46,2720,16.05,3.31,33.6805052,-118.0062935,85.86,
BND 45,Bend,,6021.15,0.27,0.219,35000,ERW,8.625,715,,,23.304,,,,,,,,AGM 2,1072.87,Valve 607,1841.47,0.19,0.27,40.83,40.83,0.46,2720,16.05,3.31,33.6805052,-118.0062929,85.87,12.3D 12.4 deg sag bend
GWD 2730,Girth Weld,,6021.42,16.05,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1073.14,Valve 607,1841.20,0.46,16.05,40.83,0.46,16.05,2730,3.31,1.77,33.6805052,-118.0062922,85.89,
GWD 2740,Girth Weld,,6037.47,2.02,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1089.19,Valve 607,1825.15,16.05,3.31,0.46,16.05,3.31,2740,1.77,15.68,33.6805048,-118.0062454,88.93,
BND 46,Bend,,6039.49,1.29,0.219,35000,ERW,8.625,715,,,38.709,,,,,,,,AGM 2,1091.21,Valve 607,1823.13,2.02,1.29,0.46,16.05,3.31,2740,1.77,15.68,33.6805063,-118.0062394,89.36,3.0D 87.2 deg left turn over bend
GWD 2750,Girth Weld,,6040.79,1.77,0.219,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1092.50,Valve 607,1821.84,3.31,1.77,16.05,3.31,1.77,2750,15.68,38.85,33.6805093,-118.0062375,89.57,
GWD 2760,Girth Weld,,6042.55,10.05,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1094.27,Valve 607,1820.07,1.77,15.68,3.31,1.77,15.68,2760,38.85,36.44,33.6805141,-118.0062373,89.72,
DMA 207,Metal Loss,Ext,6052.60,5.63,0.280,35000,ERW,8.625,715,45,0.125,1.319,0.714,5:53,2648,0.375,45,1.32,2572,AGM 2,1104.32,Valve 607,1810.02,10.05,5.63,3.31,1.77,15.68,2760,38.85,36.44,33.6805415,-118.0062373,90.36,
GWD 2770,Girth Weld,,6058.23,4.03,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1109.95,Valve 607,1804.39,15.68,38.85,1.77,15.68,38.85,2770,36.44,47.39,33.6805568,-118.0062373,90.66,
DMA 208,Metal Loss,Ext,6062.26,0.46,0.280,35000,ERW,8.625,715,26,0.071,0.793,0.694,8:03,2864,0.347,26,0.79,2851,AGM 2,1113.97,Valve 607,1800.37,4.03,34.82,1.77,15.68,38.85,2770,36.44,47.39,33.6805677,-118.0062373,90.85,
DMA 209,Metal Loss,Ext,6062.72,0.45,0.280,35000,ERW,8.625,715,24,0.068,1.099,1.123,8:40,2828,0.351,24,1.10,2807,AGM 2,1114.43,Valve 607,1799.91,4.49,34.36,1.77,15.68,38.85,2770,36.44,47.39,33.6805690,-118.0062373,90.87,
PAH 2,Patch,,6063.18,0.38,0.280,35000,ERW,8.625,715,,,,,6:25,,,,,,AGM 2,1114.89,Valve 607,1799.45,4.94,33.90,1.77,15.68,38.85,2770,36.44,47.39,33.6805702,-118.0062373,90.89,
DMA 210,Metal Loss,Ext,6063.55,0.26,0.280,35000,ERW,8.625,715,18,0.051,0.734,0.815,8:07,2888,0.344,18,0.73,2881,AGM 2,1115.27,Valve 607,1799.07,5.32,33.52,1.77,15.68,38.85,2770,36.44,47.39,33.6805712,-118.0062373,90.91,
CLS 33,Cluster,Ext,6063.81,0.25,0.280,35000,ERW,8.625,715,47,0.132,2.306,2.937,7:36,2369,0.419,30,2.31,2544,AGM 2,1115.52,Valve 607,1798.82,5.58,33.27,1.77,15.68,38.85,2770,36.44,47.39,33.6805720,-118.0062373,90.92,CLS C
DMA 214,Metal Loss,Ext,6064.06,0.23,0.280,35000,ERW,8.625,715,16,0.046,0.772,0.777,7:51,2889,0.344,16,0.77,2882,AGM 2,1115.77,Valve 607,1798.57,5.83,33.02,1.77,15.68,38.85,2770,36.44,47.39,33.6805726,-118.0062373,90.92,
DMA 215,Metal Loss,Ext,6064.29,0.47,0.280,35000,ERW,8.625,715,19,0.054,0.472,0.592,7:06,2906,0.342,19,0.47,2902,AGM 2,1116.00,Valve 607,1798.34,6.06,32.79,1.77,15.68,38.85,2770,36.44,47.39,33.6805732,-118.0062373,90.93,
DMA 216,Metal Loss,Ext,6064.76,0.70,0.280,35000,ERW,8.625,715,36,0.100,0.643,0.786,8:14,2860,0.347,36,0.64,2844,AGM 2,1116.47,Valve 607,1797.86,6.53,32.32,1.77,15.68,38.85,2770,36.44,47.39,33.6805745,-118.0062373,90.96,
DMA 217,Metal Loss,Ext,6065.47,0.18,0.280,35000,ERW,8.625,715,13,0.037,0.864,0.953,8:17,2891,0.343,13,0.86,2884,AGM 2,1117.18,Valve 607,1797.16,7.23,31.61,1.77,15.68,38.85,2770,36.44,47.39,33.6805765,-118.0062374,90.98,
DMA 218,Metal Loss,Ext,6065.64,31.44,0.280,35000,ERW,8.625,715,25,0.070,0.692,0.602,9:49,2877,0.345,25,0.69,2867,AGM 2,1117.35,Valve 607,1796.98,7.41,31.44,1.77,15.68,38.85,2770,36.44,47.39,33.6805769,-118.0062374,90.99,
GWD 2780,Girth Weld,,6097.08,19.96,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1148.79,Valve 607,1765.55,38.85,36.44,15.68,38.85,36.44,2780,47.39,47.17,33.6806625,-118.0062376,91.98,
DMA 219,Metal Loss,Ext,6117.04,3.62,0.280,35000,ERW,8.625,715,11,0.030,1.304,0.848,1:52,2874,0.346,11,1.30,2865,AGM 2,1168.75,Valve 607,1745.58,19.96,16.48,15.68,38.85,36.44,2780,47.39,47.17,33.6807169,-118.0062373,92.43,
DMA 220,Metal Loss,Ext,6120.66,0.34,0.280,35000,ERW,8.625,715,22,0.063,0.857,0.687,7:45,2866,0.346,22,0.86,2853,AGM 2,1172.37,Valve 607,1741.96,23.58,12.86,15.68,38.85,36.44,2780,47.39,47.17,33.6807268,-118.0062373,92.52,
CLS 34,Cluster,Ext,6121.00,1.38,0.280,35000,ERW,8.625,715,18,0.052,3.071,0.872,6:36,2693,0.369,12,3.07,2750,AGM 2,1172.71,Valve 607,1741.63,23.92,12.53,15.68,38.85,36.44,2780,47.39,47.17,33.6807277,-118.0062373,92.53,CLS C
DMA 223,Metal Loss,Ext,6122.38,11.15,0.280,35000,ERW,8.625,715,15,0.041,1.699,0.770,5:46,2823,0.352,15,1.70,2804,AGM 2,1174.09,Valve 607,1740.25,25.30,11.15,15.68,38.85,36.44,2780,47.39,47.17,33.6807315,-118.0062372,92.56,
GWD 2790,Girth Weld,,6133.52,47.39,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1185.24,Valve 607,1729.10,36.44,47.39,38.85,36.44,47.39,2790,47.17,47.48,33.6807618,-118.0062371,92.88,
GWD 2800,Girth Weld,,6180.91,22.13,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1232.63,Valve 607,1681.71,47.39,47.17,36.44,47.39,47.17,2800,47.48,47.39,33.6808909,-118.0062375,93.76,
DMA 224,Metal Loss,Ext,6203.04,0.25,0.280,35000,ERW,8.625,715,14,0.040,2.182,1.776,6:11,2793,0.356,14,2.18,2768,AGM 2,1254.75,Valve 607,1659.59,22.13,25.04,36.44,47.39,47.17,2800,47.48,47.39,33.6809512,-118.0062380,94.60,
DMA 225,Metal Loss,Ext,6203.29,0.96,0.280,35000,ERW,8.625,715,14,0.040,0.661,0.749,6:48,2901,0.342,14,0.66,2897,AGM 2,1255.00,Valve 607,1659.34,22.38,24.79,36.44,47.39,47.17,2800,47.48,47.39,33.6809518,-118.0062380,94.62,
DMA 226,Metal Loss,Ext,6204.25,2.78,0.280,35000,ERW,8.625,715,13,0.037,0.992,1.057,7:43,2883,0.344,13,0.99,2875,AGM 2,1255.96,Valve 607,1658.38,23.34,23.83,36.44,47.39,47.17,2800,47.48,47.39,33.6809544,-118.0062381,94.66,
DMA 227,Metal Loss,Ext,6207.03,0.37,0.280,35000,ERW,8.625,715,12,0.033,0.412,0.555,7:45,2915,0.341,12,0.41,2913,AGM 2,1258.74,Valve 607,1655.60,26.11,21.05,36.44,47.39,47.17,2800,47.48,47.39,33.6809620,-118.0062381,94.79,
CLS 35,Cluster,Ext,6207.40,1.24,0.280,35000,ERW,8.625,715,21,0.059,2.153,0.833,6:38,2729,0.364,15,2.15,2758,AGM 2,1259.11,Valve 607,1655.23,26.49,20.68,36.44,47.39,47.17,2800,47.48,47.39,33.6809630,-118.0062382,94.81,CLS C
DMA 230,Metal Loss,Ext,6208.64,1.00,0.280,35000,ERW,8.625,715,11,0.032,1.180,1.699,7:19,2877,0.345,11,1.18,2869,AGM 2,1260.36,Valve 607,1653.98,27.73,19.44,36.44,47.39,47.17,2800,47.48,47.39,33.6809664,-118.0062382,94.86,
DMA 231,Metal Loss,Ext,6209.64,0.69,0.280,35000,ERW,8.625,715,15,0.043,1.870,2.194,6:07,2806,0.354,15,1.87,2784,AGM 2,1261.35,Valve 607,1652.98,28.73,18.44,36.44,47.39,47.17,2800,47.48,47.39,33.6809691,-118.0062382,94.91,
DMA 232,Metal Loss,Ext,6210.33,0.09,0.280,35000,ERW,8.625,715,12,0.033,0.394,0.567,7:40,2915,0.341,12,0.39,2914,AGM 2,1262.04,Valve 607,1652.29,29.42,17.75,36.44,47.39,47.17,2800,47.48,47.39,33.6809710,-118.0062383,94.94,
DMA 233,Metal Loss,Ext,6210.42,0.64,0.280,35000,ERW,8.625,715,16,0.044,0.792,0.711,5:40,2889,0.344,16,0.79,2882,AGM 2,1262.13,Valve 607,1652.21,29.50,17.67,36.44,47.39,47.17,2800,47.48,47.39,33.6809712,-118.0062383,94.95,
DMA 234,Metal Loss,Ext,6211.05,1.70,0.280,35000,ERW,8.625,715,11,0.031,0.856,0.680,6:27,2897,0.343,11,0.86,2892,AGM 2,1262.77,Valve 607,1651.57,30.14,17.03,36.44,47.39,47.17,2800,47.48,47.39,33.6809730,-118.0062383,94.97,
CLS 36,Cluster,Ext,6212.76,15.32,0.280,35000,ERW,8.625,715,21,0.058,3.511,2.067,7:26,2638,0.376,14,3.51,2692,AGM 2,1264.47,Valve 607,1649.87,31.84,15.32,36.44,47.39,47.17,2800,47.48,47.39,33.6809776,-118.0062383,95.06,CLS C
GWD 2810,Girth Weld,,6228.08,3.49,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1279.79,Valve 607,1634.54,47.17,47.48,47.39,47.17,47.48,2810,47.39,45.14,33.6810193,-118.0062386,95.76,
DMA 238,Metal Loss,Ext,6231.58,0.22,0.280,35000,ERW,8.625,715,17,0.046,0.893,0.589,5:51,2880,0.345,17,0.89,2871,AGM 2,1283.29,Valve 607,1631.05,3.49,43.98,47.39,47.17,47.48,2810,47.39,45.14,33.6810288,-118.0062387,95.89,
DMA 239,Metal Loss,Ext,6231.80,0.22,0.280,35000,ERW,8.625,715,16,0.044,0.607,0.555,6:46,2902,0.342,16,0.61,2897,AGM 2,1283.51,Valve 607,1630.83,3.71,43.76,47.39,47.17,47.48,2810,47.39,45.14,33.6810294,-118.0062387,95.90,
DMA 240,Metal Loss,Ext,6232.01,0.36,0.280,35000,ERW,8.625,715,14,0.040,0.818,0.595,6:58,2891,0.343,14,0.82,2884,AGM 2,1283.72,Valve 607,1630.61,3.93,43.55,47.39,47.17,47.48,2810,47.39,45.14,33.6810300,-118.0062387,95.90,
DMA 241,Metal Loss,Ext,6232.38,0.03,0.280,35000,ERW,8.625,715,14,0.039,0.572,0.589,6:54,2906,0.342,14,0.57,2903,AGM 2,1284.09,Valve 607,1630.25,4.30,43.18,47.39,47.17,47.48,2810,47.39,45.14,33.6810310,-118.0062387,95.92,
DMA 242,Metal Loss,Ext,6232.41,0.18,0.280,35000,ERW,8.625,715,13,0.037,0.731,0.601,5:16,2899,0.343,13,0.73,2894,AGM 2,1284.12,Valve 607,1630.21,4.33,43.15,47.39,47.17,47.48,2810,47.39,45.14,33.6810311,-118.0062387,95.92,
CLS 37,Cluster,Ext,6232.59,42.96,0.280,35000,ERW,8.625,715,17,0.049,1.050,2.579,7:30,2863,0.347,17,1.05,2855,AGM 2,1284.31,Valve 607,1630.03,4.51,42.97,47.39,47.17,47.48,2810,47.39,45.14,33.6810316,-118.0062387,95.93,CLS C
GWD 2820,Girth Weld,,6275.56,47.39,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1327.27,Valve 607,1587.07,47.48,47.39,47.17,47.48,47.39,2820,45.14,47.14,33.6811486,-118.0062388,96.52,
GWD 2830,Girth Weld,,6322.94,45.14,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1374.66,Valve 607,1539.68,47.39,45.14,47.48,47.39,45.14,2830,47.14,48.35,33.6812777,-118.0062382,96.77,
GWD 2840,Girth Weld,,6368.08,47.14,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1419.80,Valve 607,1494.54,45.14,47.14,47.39,45.14,47.14,2840,48.35,46.65,33.6814006,-118.0062375,98.90,
GWD 2850,Girth Weld,,6415.22,48.35,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1466.94,Valve 607,1447.40,47.14,48.35,45.14,47.14,48.35,2850,46.65,46.73,33.6815290,-118.0062369,99.93,
GWD 2860,Girth Weld,,6463.57,46.65,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1515.29,Valve 607,1399.05,48.35,46.65,47.14,48.35,46.65,2860,46.73,47.51,33.6816607,-118.0062368,100.82,
GWD 2870,Girth Weld,,6510.22,46.73,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1561.94,Valve 607,1352.40,46.65,46.73,48.35,46.65,46.73,2870,47.51,46.71,33.6817878,-118.0062364,101.28,
GWD 2880,Girth Weld,,6556.95,45.01,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1608.67,Valve 607,1305.67,46.73,47.51,46.65,46.73,47.51,2880,46.71,45.18,33.6819151,-118.0062365,101.70,
PMA 11,Pipe Mill,Ext,6601.97,0.30,0.280,35000,ERW,8.625,715,15,0.042,0.678,0.670,5:01,,,,,,AGM 2,1653.68,Valve 607,1260.66,45.01,2.50,46.65,46.73,47.51,2880,46.71,45.18,33.6820378,-118.0062371,102.15,
PMA 12,Pipe Mill,Ext,6602.27,2.20,0.280,35000,ERW,8.625,715,11,0.031,0.867,0.923,4:39,,,,,,AGM 2,1653.98,Valve 607,1260.36,45.31,2.20,46.65,46.73,47.51,2880,46.71,45.18,33.6820386,-118.0062371,102.15,
GWD 2890,Girth Weld,,6604.47,27.72,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1656.18,Valve 607,1258.16,47.51,46.71,46.73,47.51,46.71,2890,45.18,47.00,33.6820446,-118.0062371,102.17,
DMA 245,Metal Loss,Ext,6632.19,18.99,0.280,35000,ERW,8.625,715,16,0.046,0.731,0.754,7:39,2893,0.343,16,0.73,2887,AGM 2,1683.90,Valve 607,1230.44,27.72,18.99,46.73,47.51,46.71,2890,45.18,47.00,33.6821201,-118.0062372,102.36,
GWD 2900,Girth Weld,,6651.17,45.18,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1702.89,Valve 607,1211.45,46.71,45.18,47.51,46.71,45.18,2900,47.00,17.41,33.6821718,-118.0062375,102.64,
GWD 2910,Girth Weld,,6696.35,47.00,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1748.06,Valve 607,1166.28,45.18,47.00,46.71,45.18,47.00,2910,17.41,35.89,33.6822949,-118.0062384,103.19,
GWD 2920,Girth Weld,,6743.35,17.41,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1795.06,Valve 607,1119.28,47.00,17.41,45.18,47.00,17.41,2920,35.89,46.52,33.6824230,-118.0062400,103.66,
GWD 2930,Girth Weld,,6760.76,35.89,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1812.47,Valve 607,1101.87,17.41,35.89,47.00,17.41,35.89,2930,46.52,47.29,33.6824704,-118.0062407,103.58,
GWD 2940,Girth Weld,,6796.65,46.52,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1848.36,Valve 607,1065.98,35.89,46.52,17.41,35.89,46.52,2940,47.29,46.27,33.6825681,-118.0062403,102.57,
GWD 2950,Girth Weld,,6843.17,47.29,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1894.88,Valve 607,1019.46,46.52,47.29,35.89,46.52,47.29,2950,46.27,45.18,33.6826949,-118.0062389,102.74,
GWD 2960,Girth Weld,,6890.46,46.27,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1942.17,Valve 607,972.17,47.29,46.27,46.52,47.29,46.27,2960,45.18,47.11,33.6828237,-118.0062388,102.97,
GWD 2970,Girth Weld,,6936.72,45.18,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,1988.43,Valve 607,925.91,46.27,45.18,47.29,46.27,45.18,2970,47.11,35.95,33.6829498,-118.0062392,103.00,
GWD 2980,Girth Weld,,6981.90,20.03,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,2033.62,Valve 607,880.72,45.18,47.11,46.27,45.18,47.11,2980,35.95,0.36,33.6830729,-118.0062408,102.20,
CLS 38,Cluster,Ext,7001.94,0.81,0.280,35000,ERW,8.625,715,14,0.040,0.728,1.747,4:37,2897,0.343,13,0.73,2894,AGM 2,2053.65,Valve 607,860.69,20.03,27.07,46.27,45.18,47.11,2980,35.95,0.36,33.6831274,-118.0062419,101.86,CLS C
CLS 39,Cluster,Ext,7002.75,12.94,0.280,35000,ERW,8.625,715,29,0.082,1.700,4.559,6:17,2705,0.367,28,1.70,2665,AGM 2,2054.46,Valve 607,859.88,20.84,26.26,46.27,45.18,47.11,2980,35.95,0.36,33.6831296,-118.0062420,101.85,CLS C
DMA 250,Metal Loss,Ext,7015.69,13.32,0.280,35000,ERW,8.625,715,60,0.167,0.584,0.754,2:10,2802,0.354,60,0.58,2752,AGM 2,2067.40,Valve 607,846.94,33.79,13.32,46.27,45.18,47.11,2980,35.95,0.36,33.6831649,-118.0062431,101.39,
GWD 2990,Girth Weld,,7029.01,0.70,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,2080.72,Valve 607,833.62,47.11,35.95,45.18,47.11,35.95,2990,0.36,1.29,33.6832011,-118.0062445,100.89,
DMA 251,Metal Loss,Ext,7029.70,0.64,0.280,35000,ERW,8.625,715,13,0.035,1.540,0.822,3:45,2850,0.348,13,1.54,2835,AGM 2,2081.42,Valve 607,832.92,0.70,35.25,45.18,47.11,35.95,2990,0.36,1.29,33.6832030,-118.0062445,100.86,
DMA 252,Metal Loss,Ext,7030.35,0.89,0.280,35000,ERW,8.625,715,11,0.030,1.016,1.019,3:43,2890,0.344,11,1.02,2884,AGM 2,2082.06,Valve 607,832.28,1.34,34.61,45.18,47.11,35.95,2990,0.36,1.29,33.6832048,-118.0062446,100.84,
DMA 253,Metal Loss,Ext,7031.24,11.37,0.280,35000,ERW,8.625,715,26,0.072,1.354,0.813,2:52,2784,0.357,26,1.35,2753,AGM 2,2082.95,Valve 607,831.39,2.23,33.72,45.18,47.11,35.95,2990,0.36,1.29,33.6832072,-118.0062447,100.80,
DMA 254,Metal Loss,Ext,7042.61,3.39,0.280,35000,ERW,8.625,715,18,0.050,0.711,0.691,3:14,2891,0.343,18,0.71,2884,AGM 2,2094.33,Valve 607,820.01,13.60,22.34,45.18,47.11,35.95,2990,0.36,1.29,33.6832382,-118.0062459,100.48,
DMA 255,Metal Loss,Ext,7046.01,0.73,0.280,35000,ERW,8.625,715,26,0.074,0.906,1.561,2:08,2846,0.349,26,0.91,2828,AGM 2,2097.72,Valve 607,816.62,17.00,18.95,45.18,47.11,35.95,2990,0.36,1.29,33.6832474,-118.0062463,100.42,
DMA 256,Metal Loss,Ext,7046.74,1.12,0.280,35000,ERW,8.625,715,44,0.123,2.108,1.080,11:40,2459,0.404,44,2.11,2342,AGM 2,2098.45,Valve 607,815.89,17.73,18.22,45.18,47.11,35.95,2990,0.36,1.29,33.6832494,-118.0062464,100.41,
DMA 257,Metal Loss,Ext,7047.86,0.35,0.280,35000,ERW,8.625,715,34,0.094,0.788,1.537,10:04,2840,0.350,34,0.79,2819,AGM 2,2099.58,Valve 607,814.76,18.85,17.09,45.18,47.11,35.95,2990,0.36,1.29,33.6832525,-118.0062465,100.40,
DMA 258,Metal Loss,Ext,7048.22,0.22,0.280,35000,ERW,8.625,715,18,0.050,0.934,0.508,11:39,2872,0.346,18,0.93,2861,AGM 2,2099.93,Valve 607,814.41,19.21,16.74,45.18,47.11,35.95,2990,0.36,1.29,33.6832534,-118.0062465,100.39,
DMA 259,Metal Loss,Ext,7048.43,0.44,0.280,35000,ERW,8.625,715,13,0.035,0.891,0.662,11:41,2891,0.343,13,0.89,2885,AGM 2,2100.14,Valve 607,814.20,19.42,16.53,45.18,47.11,35.95,2990,0.36,1.29,33.6832540,-118.0062466,100.39,
CLS 40,Cluster,Ext,7048.87,0.35,0.280,35000,ERW,8.625,715,28,0.079,3.110,2.736,11:15,2548,0.390,18,3.11,2651,AGM 2,2100.58,Valve 607,813.76,19.86,16.09,45.18,47.11,35.95,2990,0.36,1.29,33.6832552,-118.0062466,100.38,CLS C
DMA 263,Metal Loss,Ext,7049.22,0.20,0.280,35000,ERW,8.625,715,15,0.042,1.498,0.813,10:37,2838,0.350,15,1.50,2821,AGM 2,2100.93,Valve 607,813.41,20.21,15.74,45.18,47.11,35.95,2990,0.36,1.29,33.6832562,-118.0062467,100.38,
DMA 264,Metal Loss,Ext,7049.42,1.42,0.280,35000,ERW,8.625,715,26,0.072,0.948,0.531,11:39,2842,0.349,26,0.95,2824,AGM 2,2101.13,Valve 607,813.21,20.41,15.54,45.18,47.11,35.95,2990,0.36,1.29,33.6832567,-118.0062467,100.38,
CLS 41,Cluster,Ext,7050.84,1.12,0.280,35000,ERW,8.625,715,30,0.083,4.411,3.146,11:07,2439,0.407,14,4.41,2667,AGM 2,2102.55,Valve 607,811.79,21.83,14.12,45.18,47.11,35.95,2990,0.36,1.29,33.6832606,-118.0062468,100.36,CLS C
DMA 270,Metal Loss,Ext,7051.96,0.18,0.280,35000,ERW,8.625,715,14,0.039,1.452,1.287,6:41,2847,0.349,14,1.45,2832,AGM 2,2103.67,Valve 607,810.66,22.95,13.00,45.18,47.11,35.95,2990,0.36,1.29,33.6832636,-118.0062470,100.35,
CLS 42,Cluster,Ext,7052.14,0.36,0.280,35000,ERW,8.625,715,22,0.063,1.224,2.011,8:04,2822,0.352,18,1.22,2828,AGM 2,2103.86,Valve 607,810.48,23.13,12.81,45.18,47.11,35.95,2990,0.36,1.29,33.6832641,-118.0062470,100.35,CLS C
CLS 43,Cluster,Ext,7052.50,0.80,0.280,35000,ERW,8.625,715,29,0.080,3.964,2.774,8:12,2481,0.400,19,3.96,2589,AGM 2,2104.22,Valve 607,810.12,23.49,12.45,45.18,47.11,35.95,2990,0.36,1.29,33.6832651,-118.0062470,100.34,CLS C
CLS 44,Cluster,Ext,7053.30,1.20,0.280,35000,ERW,8.625,715,16,0.045,1.859,2.353,7:13,2802,0.354,9,1.86,2844,AGM 2,2105.01,Valve 607,809.32,24.29,11.66,45.18,47.11,35.95,2990,0.36,1.29,33.6832673,-118.0062471,100.34,CLS C
DMA 278,Metal Loss,Ext,7054.50,5.47,0.280,35000,ERW,8.625,715,11,0.030,1.646,1.373,10:17,2856,0.348,11,1.65,2843,AGM 2,2106.21,Valve 607,808.13,25.49,10.46,45.18,47.11,35.95,2990,0.36,1.29,33.6832705,-118.0062473,100.32,
DMA 279,Metal Loss,Ext,7059.97,4.99,0.280,35000,ERW,8.625,715,14,0.039,1.317,1.151,11:34,2856,0.348,14,1.32,2843,AGM 2,2111.68,Valve 607,802.66,30.96,4.99,45.18,47.11,35.95,2990,0.36,1.29,33.6832854,-118.0062479,100.26,
GWD 3000,Girth Weld,,7064.96,0.17,0.280,35000,ERW,8.625,715,,,,,,,,,,,AGM 2,2116.67,Valve 607,797.67,35.95,0.36,47.11,35.95,0.36,3000,1.29,16.64,33.6832990,-118.0062486,100.18,
RED 1,Reducer,,7065.12,0.19,0.280,35000,ERW,8.625,715,,,,,7:20,,,,,,AGM 2,2116.84,Valve 607,797.50,0.17,0.19,47.11,35.95,0.36,3000,1.29,16.64,33.6832995,-118.0062486,100.18,Reducer NPS  8 x  6
GWD 3010,Girth Weld,,7065.32,0.74,0.280,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2117.03,Valve 607,797.31,0.36,1.29,35.95,0.36,1.29,3010,16.64,1.21,33.6833000,-118.0062486,100.18,
BND 47,Bend,,7066.06,0.54,0.280,35000,ERW,6.625,715,,,15.472,,,,,,,,AGM 2,2117.77,Valve 607,796.57,0.74,0.55,35.95,0.36,1.29,3010,16.64,1.21,33.6833020,-118.0062483,100.20,3.0D 50.5 deg right turn bend
GWD 3020,Girth Weld,,7066.60,16.22,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2118.32,Valve 607,796.02,1.29,16.64,0.36,1.29,16.64,3020,1.21,1.01,33.6833033,-118.0062475,100.20,
